Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_1206_3216Metric,173.67,-114.3,0.0,top
C2,10uF,C_1206_3216Metric,187.01,-116.84,0.0,top
C3,22uF,C_1206_3216Metric,133.67,-121.92,0.0,top
C4,10uF,C_1206_3216Metric,143.83,-119.38,0.0,top
C7,22uF,C_1206_3216Metric,164.15,-91.44,0.0,top
C8,10uF,C_1206_3216Metric,166.69,-99.06,0.0,top
D1,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,148.334136,-78.739958,-135.0,top
D2,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,160.02,-73.66,180.0,top
D3,SFH_203_PFA,XDCR_SFH_203_PFA,199.30238,-85.177619,-135.0,top
D4,SFH_203_PFA,XDCR_SFH_203_PFA,167.64,-70.210911,-90.0,top
D5,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,175.26,-71.12,180.0,top
D6,SFH_203_PFA,XDCR_SFH_203_PFA,141.801619,-83.381619,-45.0,top
D8,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,193.040041,-81.280036,135.0,top
J2,Conn_02x14_Odd_Even,JST_PHD_B28B-PHDSS_2x14_P2.00mm_Vertical,167.4975,-123.46,0.0,top
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,178.45,-106.68,0.0,top
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,198.12,-93.98,0.0,top
JP3,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,198.12,-106.68,0.0,top
JP4,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,205.74,-101.6,0.0,top
JP5,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,133.97,-104.14,0.0,top
JP6,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,144.13,-106.68,0.0,top
JP7,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,159.37,-86.36,0.0,top
JP8,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,168.29,-83.82,0.0,top
JP9,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,174.61,-88.9,0.0,top
JP10,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,180.99,-81.28,0.0,top
JP11,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,155.59,-106.68,0.0,top
JP12,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,167.64,-106.68,0.0,top
JP13,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,162.56,-104.14,0.0,top
JP14,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,139.7,-111.76,0.0,top
JP15,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,180.34,-114.3,0.0,top
JP16,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,170.18,-93.98,0.0,top
JP17,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,133.97,-96.52,0.0,top
JP18,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,192.39,-119.38,0.0,top
JP19,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,168.29,-116.84,0.0,top
JP20,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,146.67,-101.6,0.0,top
Q1,MMBT5551L,SOT-23,186.3575,-92.39,0.0,top
Q2,MMBT5551L,SOT-23,168.5775,-77.15,0.0,top
Q3,MMBT5551L,SOT-23,193.9775,-100.01,0.0,top
Q4,MMBT5551L,SOT-23,158.4175,-92.39,0.0,top
R1,100k,R_0805_2012Metric,197.2075,-119.38,0.0,top
R2,22,R_0805_2012Metric,181.2525,-88.9,0.0,top
R3,150k,R_0805_2012Metric,207.3675,-119.38,0.0,top
R4,22,R_0805_2012Metric,141.3275,-99.06,0.0,top
R5,150k,R_0805_2012Metric,182.88,-99.06,0.0,top
R6,22,R_0805_2012Metric,189.5875,-96.52,0.0,top
R7,100k,R_0805_2012Metric,174.3475,-99.06,0.0,top
R8,100k,R_0805_2012Metric,151.4875,-114.3,0.0,top
R9,22,R_0805_2012Metric,151.4875,-99.06,0.0,top
R10,150k,R_0805_2012Metric,161.6475,-114.3,0.0,top
R11,200,R_0805_2012Metric,192.1275,-91.44,0.0,top
R12,200,R_0805_2012Metric,202.2875,-114.3,0.0,top
R13,200,R_0805_2012Metric,193.9525,-114.3,0.0,top
R14,200,R_0805_2012Metric,166.7275,-111.76,0.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,147.32,-93.98,0.0,top
TP2,TestPoint,TestPoint_Pad_D1.0mm,185.42,-76.2,0.0,top
TP3,TestPoint,TestPoint_Pad_D1.0mm,152.4,-88.9,0.0,top
TP4,TestPoint,TestPoint_Pad_D1.0mm,187.96,-88.9,0.0,top
TP5,TestPoint,TestPoint_Pad_D1.0mm,187.96,-106.68,0.0,top
TP6,TestPoint,TestPoint_Pad_D1.0mm,137.16,-91.44,0.0,top
TP7,TestPoint,TestPoint_Pad_D1.0mm,157.48,-99.06,0.0,top
